hospcode,SUM of total_result,SUM of total_target,provcode
10980,55752,7153,
10981,10711,3087,
10982,9896,2202,
10983,7620,1243,
10985,5136,1697,
10986,8176,2135,
10987,6242,2059,
10988,6734,2060,
10989,27451,4584,
10991,12824,3276,
10992,10584,2577,
10993,32742,6639,
10994,18398,3828,
10995,10931,2761,
10996,7891,1869,
10997,15669,4684,
10998,88844,17424,
10999,26652,4397,
11000,61232,8596,
11001,12390,3951,
11002,36697,7828,
11003,5298,1569,
11004,56465,8677,
11005,7166,1931,
11006,9023,1937,
11007,12291,3383,
11008,18645,4338,
11009,13028,2627,
11010,9062,2253,
11011,22036,4832,
11012,3918,1203,
11013,15445,3886,
11014,17370,4385,
11015,76549,14668,
11016,5769,440,
11017,10890,2644,
11018,40737,9398,
11019,6737,1922,
11020,6988,1612,
11021,9296,2289,
11022,19899,4217,
11023,35180,7083,
11024,14696,3701,
11025,22382,5484,
11026,4432,1328,
11027,5400,1308,
11028,5179,1356,
11029,6878,1788,
11030,13306,2598,
11031,16869,4366,
11032,15610,3457,
11033,4845,1139,
11034,6306,2064,
11035,10950,2224,
11036,29073,7244,
11037,8633,2591,
11038,18790,3711,
11039,18708,3490,
11040,43938,11216,
11041,13764,2946,
11042,36418,8270,
11043,22926,8742,
11044,9600,2153,
11045,12771,2770,
11046,27228,5224,
11047,14729,2911,
11048,9273,2708,
11049,10410,2505,
11050,6451,1253,
11051,3787,1134,
11052,17648,4162,
11053,8531,2720,
11054,66677,8862,
11055,34283,7708,
11056,14563,3678,
11057,20726,5699,
11058,25880,6233,
11059,23990,3754,
11060,4331,1416,
11061,34903,7539,
11062,6626,1853,
11063,8506,2544,
11064,17966,3217,
11065,12756,2871,
11066,47710,9801,
11067,9784,2624,
11068,7871,2725,
11069,95542,12924,
11070,31653,7944,
11071,2342,931,
11072,3538,888,
11073,5941,1846,
11074,4845,1302,
11075,11414,2234,
11076,42621,5445,
11077,5919,1767,
11078,30069,7145,
11079,4835,1238,
11080,16824,4631,
11081,50157,9059,
11082,14832,2440,
11083,17005,3082,
11084,14148,4056,
11085,10122,3366,
11086,17789,4291,
11087,25789,5670,
11088,6278,1913,
11089,4354,1273,
11090,6111,1650,
11091,15702,3006,
11092,25360,4337,
11093,5717,1681,
11094,3130,723,
11095,45811,8978,
11096,6134,1826,
11097,13521,3420,
11098,24619,5476,
11099,5653,1884,
11100,10309,1873,
11101,9890,2027,
11102,5209,1348,
11103,3073,1251,
11104,5886,1497,
11105,11809,3092,
11106,6634,1710,
11107,2911,1133,
11108,6076,2144,
11109,10511,2766,
11110,39748,5600,
11111,8769,2167,
11112,15456,3744,
11113,8066,1824,
11114,6319,1730,
11115,6182,1693,
11116,7521,1838,
11117,3898,1293,
11118,8052,2350,
11119,49786,9350,
11120,11063,3464,
11121,15851,4348,
11122,23282,5101,
11123,8411,2702,
11124,4808,1423,
11125,49489,9842,
11126,14348,4115,
11127,9498,2694,
11128,41052,8554,
11129,17292,2925,
11130,38485,8507,
11131,29497,5899,
11132,15641,3810,
11133,4701,1460,
11134,16854,3349,
11135,19286,3708,
11136,3593,1129,
11137,6882,2267,
11138,6354,2585,
11139,3609,1274,
11140,9011,2213,
11141,16854,3019,
11142,18999,3946,
11143,3275,1301,
11144,17704,3061,
11145,12987,1819,
11146,4644,1502,
11147,22442,4547,
11148,5846,1740,
11149,5346,1802,
11150,5634,1863,
