id,hospcode,areacode,flag_sent,date_com,b_year,type_13,uc,sso,ofc,osm,ageing,child,disab,home,village,school,student,childcenter,caregiver,osk,opd,opd_visit,opd_pt,opd_pt_visit,ip
"8ec43f9ee8a5b450912a021b7b914f7e","03811","34310404","0","202206271409","2565","2650","1870","87","144","55","494","190","62",737,6,3,0,0,0,0,2691,9781,961,2590,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03800","34290307","0","202206271409","2565","4597","3091","47","152","136","791","370","166",1424,9,5,0,0,0,0,4758,20013,1670,3984,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03797","34290110","0","202206271409","2565","4346","3016","34","103","94","665","306","191",1120,9,3,0,0,0,0,4649,21304,1314,3937,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03798","34290204","0","202206271409","2565","2458","1576","28","69","62","437","202","70",759,5,2,0,0,0,0,2676,10646,1098,2695,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03795","34260606","0","202206271409","2565","2993","1967","38","141","101","650","202","94",1082,11,4,0,0,0,0,2730,7968,859,1920,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03801","34300101","0","202206271409","2565","7677","5757","232","434","180","1438","558","115",938,4,3,0,1,0,0,6465,14073,1086,2241,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03794","34260410","0","202206271409","2565","2767","1951","31","54","56","373","236","65",747,5,3,0,0,0,0,2470,7598,574,1128,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03793","34260401","0","202206271409","2565","2552","1656","69","90","52","398","158","66",629,5,2,0,2,2,0,2304,7759,761,1761,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03796","34290102","0","202206271409","2565","7121","4552","186","347","144","1293","404","116",1519,4,2,0,1,0,0,6066,17486,1783,4438,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03792","34260305","0","202206271409","2565","1556","1120","24","52","49","261","92","35",536,5,2,0,1,0,0,1367,4515,425,883,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03803","34300204","0","202206271409","2565","2297","1518","31","186","69","549","165","28",847,6,4,0,3,0,0,2532,6974,636,1574,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10962","34260303","0","202206271409","2565","4586","2674","96","219","63","744","132","85",1668,12,4,0,3,0,0,20302,66130,7445,21439,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03791","34260301","0","202206271409","2565","2045","1338","24","66","47","303","184","53",572,4,2,0,0,0,0,1720,6349,797,1933,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","14261","34250608","0","202206271409","2565","2364","1557","47","43","79","271","182","26",865,6,3,0,0,0,0,3606,14140,1076,3549,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10961","34250410","0","202206271409","2565","4920","3108","67","350","113","902","391","181",1909,13,5,0,2,0,0,26158,72815,10299,26570,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03784","34250203","0","202206271409","2565","8752","5982","908","418","155","1136","603","78",2727,14,8,0,5,0,0,9532,30215,1604,4723,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","24032","34300105","0","202206271409","2565","1020","623","12","46","33","224","66","34",459,20,4,0,1,0,0,19955,58766,11331,27158,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03785","34250303","0","202206271409","2565","9793","6118","33","216","184","1229","810","71",2917,15,10,0,0,0,0,9796,30536,2687,6780,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03810","34310403","0","202206271409","2565","3686","1536","77","114","77","592","239","114",1067,7,5,0,2,0,0,5493,16724,982,2258,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03788","34250602","0","202206271409","2565","2154","1162","6","46","52","256","191","4",624,4,3,0,0,0,0,2658,8514,872,2695,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03779","34240102","0","202206271409","2565","6286","3575","40","192","137","1311","502","98",2314,14,4,0,0,0,0,6152,20163,1365,3136,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03782","34240401","0","202206271409","2565","3260","1706","18","199","103","801","216","72",1275,11,5,0,0,0,0,4156,16486,1233,4174,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10960","34240212","0","202206271409","2565","2819","1904","67","67","77","599","124","47",0,0,0,0,0,1,0,18024,61590,8609,22865,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","14253","34240208","0","202206271409","2565","2139","1371","139","154","23","477","134","26",942,6,2,0,1,0,0,2098,8244,851,2558,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03778","34220907","0","202206271409","2565","2166","1263","21","77","52","333","159","1",641,9,4,0,0,0,0,2190,7335,496,809,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03777","34220801","0","202206271409","2565","2861","1506","169","16","71","570","175","122",862,8,5,0,0,0,0,2686,7962,789,1419,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","14264","34220701","0","202206271409","2565","3683","2607","381","195","103","723","212","106",1211,10,7,0,0,0,0,3913,12313,1169,2177,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03775","34220607","0","202206271409","2565","2918","1702","5","80","61","509","139","102",770,5,3,0,0,0,0,3082,8710,699,1408,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03774","34220603","0","202206271409","2565","3469","1882","39","36","79","616","207","100",1231,7,4,0,1,0,0,3839,12423,1381,2655,"203.157.102.134"
